名称,営業日,住所,アクセス
MECCA Yokohama,月～金: 11:00～翌1:00 （料理L.O. 23:30 ドリンクL.O. 翌0:00）土、祝前日: 09:00～翌1:00 （料理L.O. 23:30 ドリンクL.O. 翌0:00）日、祝日: 09:00～21:00 （料理L.O. 20:00 ドリンクL.O. 20:00）,神奈川県横浜市中区曙町２-19-1　曙町新井ビル2F,横浜市営地下鉄ブルーライン伊勢佐木長者町駅出口６Ｂより徒歩約5分/京浜急行本線日ノ出町駅出口より徒歩約12分
moon beams,月～土、祝日、祝前日: 17:00～23:30,神奈川県横浜市中区山下町201　GENビル２F,みなとみらい線日本大通り駅３出口より徒歩約8分/ＪＲ京浜東北・根岸線石川町駅中華街口より徒歩約9分
アール アンド ビー R&B,火～土、祝前日: 11:30～15:3017:00～23:00,神奈川県横浜市中区真砂町３-29-2階,ＪＲ関内駅　徒歩1分
RIGEL,月～土、祝前日: 18:00～翌3:00 （料理L.O. 翌2:30 ドリンクL.O. 翌2:30）日、祝日: 18:00～翌0:00 （料理L.O. 23:30 ドリンクL.O. 23:30）,神奈川県横浜市中区野毛町２-１０１　ネオキャッスル野毛　２０１,ＪＲ京浜東北・根岸線桜木町駅西口(南改札)より徒歩約7分/京浜急行本線日ノ出町駅出口より徒歩約6分
FIRENZE 伊勢佐木町,月～土、祝前日: 12:00～15:00 （料理L.O. 14:30 ドリンクL.O. 14:30）18:00～翌1:00 （料理L.O. 翌0:30 ドリンクL.O. 翌0:30）,神奈川県横浜市中区長者町８-133-6,京浜急行本線日ノ出町駅出口より徒歩約5分/横浜市営地下鉄ブルーライン関内駅、伊勢佐木長者町駅より徒歩約9分
bar shine 関内 バー シャイン,月～土: 19:00～翌4:00,神奈川県横浜市中区相生町４-65 ポラリス2F,関内駅徒歩4分
AREA8145,月～土、祝前日: 18:00～翌3:00,神奈川県横浜市中区太田町２－３２　エクセレント６　１Ｆ,ＪＲ関内駅徒歩５分
YOKOHAMA DUNK,月～日、祝日、祝前日: 18:00～22:00,神奈川県横浜市中区弁天通３-41 横浜エクセレント2 404号,みなとみらい線馬車道駅７出口より徒歩約5分/横浜市営地下鉄ブルーライン関内駅出口３より徒歩約7分
スリーモンキーズカフェ 横浜関内店,月～木、日、祝日: 14:00～23:30 （料理L.O. 22:30 ドリンクL.O. 22:00）金、土、祝前日: 14:00～翌5:00 （料理L.O. 翌4:00 ドリンクL.O. 翌4:30）,神奈川県横浜市中区末広町３‐９５　パセラリゾーツ７Ｆ,JR関内駅北口を出て16号線を長者町方面へ徒歩２分
ロイヤルアスコット 横浜ロイヤルパークホテル,月～土、祝前日: 17:00～23:30 （ドリンクL.O. 23:00）日、祝日: 17:00～22:30 （ドリンクL.O. 22:00）,神奈川県横浜市西区みなとみらい２-２-１-３,みなとみらい線「みなとみらい駅」より徒歩３分／ＪＲ・市営地下鉄「桜木町駅」より徒歩５分
